line_id,bar_1,bar_2,length_km,option_id,imax_A,r1_ohm_km,x1_ohm_km,cost_usd
LN030,B27,B28,0.624,3,250,0.2359,0.2402,2496
LN030,B27,B28,0.624,4,300,0.1932,0.2279,3120
LN030,B27,B28,0.624,5,600,0.0966,0.1201,5616
LN031,B6,B28,1,1,150,0.3655,0.252,2000
LN031,B6,B28,1,2,200,0.2921,0.2466,3000
LN031,B6,B28,1,3,250,0.2359,0.2402,4000
LN031,B6,B28,1,4,300,0.1932,0.2279,5000
LN031,B6,B28,1,5,600,0.0966,0.1201,9000
LN032,SE_54,B30,0.562,1,150,0.3655,0.252,1124
LN032,SE_54,B30,0.562,2,200,0.2921,0.2466,1686
LN032,SE_54,B30,0.562,3,250,0.2359,0.2402,2248
LN032,SE_54,B30,0.562,4,300,0.1932,0.2279,2810
LN032,SE_54,B30,0.562,5,600,0.0966,0.1201,5058
LN033,B30,B29,0.624,1,150,0.3655,0.252,1248
LN033,B30,B29,0.624,2,200,0.2921,0.2466,1872
LN033,B30,B29,0.624,3,250,0.2359,0.2402,2496
LN033,B30,B29,0.624,4,300,0.1932,0.2279,3120
LN033,B30,B29,0.624,5,600,0.0966,0.1201,5616
LN034,B30,B43,0.812,1,150,0.3655,0.252,1624
LN034,B30,B43,0.812,2,200,0.2921,0.2466,2436
LN034,B30,B43,0.812,3,250,0.2359,0.2402,3248
LN034,B30,B43,0.812,4,300,0.1932,0.2279,4060
LN034,B30,B43,0.812,5,600,0.0966,0.1201,7308
LN035,B43,B37,0.5,1,150,0.3655,0.252,1000
LN035,B43,B37,0.5,2,200,0.2921,0.2466,1500
LN035,B43,B37,0.5,3,250,0.2359,0.2402,2000
LN035,B43,B37,0.5,4,300,0.1932,0.2279,2500
LN035,B43,B37,0.5,5,600,0.0966,0.1201,4500
LN036,B37,B31,0.374,1,150,0.3655,0.252,748
LN036,B37,B31,0.374,2,200,0.2921,0.2466,1122
LN036,B37,B31,0.374,3,250,0.2359,0.2402,1496
LN036,B37,B31,0.374,4,300,0.1932,0.2279,1870
LN036,B37,B31,0.374,5,600,0.0966,0.1201,3366
LN037,B31,B10,0.624,1,150,0.3655,0.252,1248
LN037,B31,B10,0.624,2,200,0.2921,0.2466,1872
LN037,B31,B10,0.624,3,250,0.2359,0.2402,2496
LN037,B31,B10,0.624,4,300,0.1932,0.2279,3120
LN037,B31,B10,0.624,5,600,0.0966,0.1201,5616
LN038,B13,B43,0.75,1,150,0.3655,0.252,1500
LN038,B13,B43,0.75,2,200,0.2921,0.2466,2250
LN038,B13,B43,0.75,3,250,0.2359,0.2402,3000
LN038,B13,B43,0.75,4,300,0.1932,0.2279,3750
LN038,B13,B43,0.75,5,600,0.0966,0.1201,6750
LN039,B44,B38,0.5,1,150,0.3655,0.252,1000
LN039,B44,B38,0.5,2,200,0.2921,0.2466,1500
LN039,B44,B38,0.5,3,250,0.2359,0.2402,2000
LN039,B44,B38,0.5,4,300,0.1932,0.2279,2500
LN039,B44,B38,0.5,5,600,0.0966,0.1201,4500
LN040,B38,B39,0.436,1,150,0.3655,0.252,872
LN040,B38,B39,0.436,2,200,0.2921,0.2466,1308
LN040,B38,B39,0.436,3,250,0.2359,0.2402,1744
LN040,B38,B39,0.436,4,300,0.1932,0.2279,2180
LN040,B38,B39,0.436,5,600,0.0966,0.1201,3924
LN041,B39,B32,0.624,1,150,0.3655,0.252,1248
LN041,B39,B32,0.624,2,200,0.2921,0.2466,1872
LN041,B39,B32,0.624,3,250,0.2359,0.2402,2496
LN041,B39,B32,0.624,4,300,0.1932,0.2279,3120
LN041,B39,B32,0.624,5,600,0.0966,0.1201,5616
LN042,B39,B33,0.686,1,150,0.3655,0.252,1372
LN042,B39,B33,0.686,2,200,0.2921,0.2466,2058
LN042,B39,B33,0.686,3,250,0.2359,0.2402,2744
LN042,B39,B33,0.686,4,300,0.1932,0.2279,3430
LN042,B39,B33,0.686,5,600,0.0966,0.1201,6174
LN043,B33,B8,0.812,1,150,0.3655,0.252,1624
LN043,B33,B8,0.812,2,200,0.2921,0.2466,2436
LN043,B33,B8,0.812,3,250,0.2359,0.2402,3248
LN043,B33,B8,0.812,4,300,0.1932,0.2279,4060
LN043,B33,B8,0.812,5,600,0.0966,0.1201,7308
LN044,B33,B34,0.562,1,150,0.3655,0.252,1124
LN044,B33,B34,0.562,2,200,0.2921,0.2466,1686
LN044,B33,B34,0.562,3,250,0.2359,0.2402,2248
LN044,B33,B34,0.562,4,300,0.1932,0.2279,2810
LN044,B33,B34,0.562,5,600,0.0966,0.1201,5058
LN045,B34,B35,0.936,1,150,0.3655,0.252,1872
LN045,B34,B35,0.936,2,200,0.2921,0.2466,2808
LN045,B34,B35,0.936,3,250,0.2359,0.2402,3744
LN045,B34,B35,0.936,4,300,0.1932,0.2279,4680
LN045,B34,B35,0.936,5,600,0.0966,0.1201,8424
LN046,B35,B36,0.374,1,150,0.3655,0.252,748
LN046,B35,B36,0.374,2,200,0.2921,0.2466,1122
LN046,B35,B36,0.374,3,250,0.2359,0.2402,1496
LN046,B35,B36,0.374,4,300,0.1932,0.2279,1870
LN046,B35,B36,0.374,5,600,0.0966,0.1201,3366
LN047,SE_53,B36,0.436,1,150,0.3655,0.252,872
LN047,SE_53,B36,0.436,2,200,0.2921,0.2466,1308
LN047,SE_53,B36,0.436,3,250,0.2359,0.2402,1744
LN047,SE_53,B36,0.436,4,300,0.1932,0.2279,2180
LN047,SE_53,B36,0.436,5,600,0.0966,0.1201,3924
LN048,SE_53,B28,0.436,1,150,0.3655,0.252,872
LN048,SE_53,B28,0.436,2,200,0.2921,0.2466,1308
LN048,SE_53,B28,0.436,3,250,0.2359,0.2402,1744
LN048,SE_53,B28,0.436,4,300,0.1932,0.2279,2180
LN048,SE_53,B28,0.436,5,600,0.0966,0.1201,3924
LN049,SE_53,B41,0.5,1,150,0.3655,0.252,1000
LN049,SE_53,B41,0.5,2,200,0.2921,0.2466,1500
LN049,SE_53,B41,0.5,3,250,0.2359,0.2402,2000
LN049,SE_53,B41,0.5,4,300,0.1932,0.2279,2500
LN049,SE_53,B41,0.5,5,600,0.0966,0.1201,4500
LN050,B41,B40,0.624,1,150,0.3655,0.252,1248
LN050,B41,B40,0.624,2,200,0.2921,0.2466,1872
LN050,B41,B40,0.624,3,250,0.2359,0.2402,2496
LN050,B41,B40,0.624,4,300,0.1932,0.2279,3120
LN050,B41,B40,0.624,5,600,0.0966,0.1201,5616
LN051,B40,B16,0.624,1,150,0.3655,0.252,1248
LN051,B40,B16,0.624,2,200,0.2921,0.2466,1872
LN051,B40,B16,0.624,3,250,0.2359,0.2402,2496
LN051,B40,B16,0.624,4,300,0.1932,0.2279,3120
LN051,B40,B16,0.624,5,600,0.0966,0.1201,5616
LN052,B41,B42,0.75,1,150,0.3655,0.252,1500
LN052,B41,B42,0.75,2,200,0.2921,0.2466,2250
LN052,B41,B42,0.75,3,250,0.2359,0.2402,3000
LN052,B41,B42,0.75,4,300,0.1932,0.2279,3750
LN052,B41,B42,0.75,5,600,0.0966,0.1201,6750
LN053,B42,B48,0.5,1,150,0.3655,0.252,1000
LN053,B42,B48,0.5,2,200,0.2921,0.2466,1500
LN053,B42,B48,0.5,3,250,0.2359,0.2402,2000
LN053,B42,B48,0.5,4,300,0.1932,0.2279,2500
LN053,B42,B48,0.5,5,600,0.0966,0.1201,4500
LN054,B48,B49,0.75,1,150,0.3655,0.252,1500
LN054,B48,B49,0.75,2,200,0.2921,0.2466,2250
LN054,B48,B49,0.75,3,250,0.2359,0.2402,3000
LN054,B48,B49,0.75,4,300,0.1932,0.2279,3750
LN054,B48,B49,0.75,5,600,0.0966,0.1201,6750
LN055,B49,B50,0.5,1,150,0.3655,0.252,1000
LN055,B49,B50,0.5,2,200,0.2921,0.2466,1500
LN055,B49,B50,0.5,3,250,0.2359,0.2402,2000
LN055,B49,B50,0.5,4,300,0.1932,0.2279,2500
LN055,B49,B50,0.5,5,600,0.0966,0.1201,4500
LN056,B42,B47,0.75,1,150,0.3655,0.252,1500
LN056,B42,B47,0.75,2,200,0.2921,0.2466,2250
LN056,B42,B47,0.75,3,250,0.2359,0.2402,3000
LN056,B42,B47,0.75,4,300,0.1932,0.2279,3750
LN056,B42,B47,0.75,5,600,0.0966,0.1201,6750
LN057,B47,B46,0.436,1,150,0.3655,0.252,872
LN057,B47,B46,0.436,2,200,0.2921,0.2466,1308
LN057,B47,B46,0.436,3,250,0.2359,0.2402,1744
LN057,B47,B46,0.436,4,300,0.1932,0.2279,2180
LN057,B47,B46,0.436,5,600,0.0966,0.1201,3924
LN058,B46,B14,0.624,1,150,0.3655,0.252,1248
LN058,B46,B14,0.624,2,200,0.2921,0.2466,1872
LN058,B46,B14,0.624,3,250,0.2359,0.2402,2496
LN058,B46,B14,0.624,4,300,0.1932,0.2279,3120
LN058,B46,B14,0.624,5,600,0.0966,0.1201,5616
LN059,B12,B45,0.624,1,150,0.3655,0.252,1248
LN059,B12,B45,0.624,2,200,0.2921,0.2466,1872
LN059,B12,B45,0.624,3,250,0.2359,0.2402,2496
LN059,B12,B45,0.624,4,300,0.1932,0.2279,3120
LN059,B12,B45,0.624,5,600,0.0966,0.1201,5616
LN060,B45,B44,0.686,1,150,0.3655,0.252,1372
LN060,B45,B44,0.686,2,200,0.2921,0.2466,2058
LN060,B45,B44,0.686,3,250,0.2359,0.2402,2744
LN060,B45,B44,0.686,4,300,0.1932,0.2279,3430
LN060,B45,B44,0.686,5,600,0.0966,0.1201,6174
