line_id,bar_1,bar_2,length_km,option_id,imax_A,r1_ohm_km,x1_ohm_km,cost,is_base,original_z,notes
0,B1,B2,1,0,250,1,0,0,1,1,original_z_used_as_r1; x1_assumed_0
14,B9,B10,1,3,500,0.5,0,140,0,0.5,original_z_used_as_r1; x1_assumed_0
15,B9,B13,1,1,250,1,0,102,0,1,original_z_used_as_r1; x1_assumed_0
15,B9,B13,1,2,400,0.7,0,122,0,0.7,original_z_used_as_r1; x1_assumed_0
15,B9,B13,1,3,500,0.5,0,142,0,0.5,original_z_used_as_r1; x1_assumed_0
16,SE_17,B9,1,1,250,1,0,305,0,1,original_z_used_as_r1; x1_assumed_0
16,SE_17,B9,1,2,400,0.7,0,325,0,0.7,original_z_used_as_r1; x1_assumed_0
16,SE_17,B9,1,3,500,0.5,0,355,0,0.5,original_z_used_as_r1; x1_assumed_0
17,B10,B11,1,1,250,1,0,104,0,1,original_z_used_as_r1; x1_assumed_0
17,B10,B11,1,2,400,0.7,0,124,0,0.7,original_z_used_as_r1; x1_assumed_0
17,B10,B11,1,3,500,0.5,0,144,0,0.5,original_z_used_as_r1; x1_assumed_0
18,B11,B15,1,1,250,1,0,106,0,1,original_z_used_as_r1; x1_assumed_0
18,B11,B15,1,2,400,0.7,0,126,0,0.7,original_z_used_as_r1; x1_assumed_0
18,B11,B15,1,3,500,0.5,0,146,0,0.5,original_z_used_as_r1; x1_assumed_0
19,SE_18,B11,1,1,250,1,0,310,0,1,original_z_used_as_r1; x1_assumed_0
19,SE_18,B11,1,2,400,0.7,0,330,0,0.7,original_z_used_as_r1; x1_assumed_0
19,SE_18,B11,1,3,500,0.5,0,360,0,0.5,original_z_used_as_r1; x1_assumed_0
20,B13,B14,1,1,250,1,0,108,0,1,original_z_used_as_r1; x1_assumed_0
20,B13,B14,1,2,400,0.7,0,128,0,0.7,original_z_used_as_r1; x1_assumed_0
20,B13,B14,1,3,500,0.5,0,148,0,0.5,original_z_used_as_r1; x1_assumed_0
21,SE_17,B13,1,1,250,1,0,315,0,1,original_z_used_as_r1; x1_assumed_0
21,SE_17,B13,1,2,400,0.7,0,335,0,0.7,original_z_used_as_r1; x1_assumed_0
21,SE_17,B13,1,3,500,0.5,0,365,0,0.5,original_z_used_as_r1; x1_assumed_0
22,B14,B15,1,1,250,1,0,110,0,1,original_z_used_as_r1; x1_assumed_0
22,B14,B15,1,2,400,0.7,0,130,0,0.7,original_z_used_as_r1; x1_assumed_0
22,B14,B15,1,3,500,0.5,0,150,0,0.5,original_z_used_as_r1; x1_assumed_0
23,B15,B16,1,1,250,1,0,112,0,1,original_z_used_as_r1; x1_assumed_0
23,B15,B16,1,2,400,0.7,0,132,0,0.7,original_z_used_as_r1; x1_assumed_0
23,B15,B16,1,3,500,0.5,0,152,0,0.5,original_z_used_as_r1; x1_assumed_0
